date,Bull Ranch,time,goring,injury,firstAid,pavement
7/14/93,Conde de la Corte,2.23,NA,4,73,Dry
7/7/94,Cebada Gago,4.04,3,2,36,Dry
7/8/94,Conde de la Corte,3.22,NA,7,47,Dry
7/9/94,Miura,2.27,NA,8,94,Dry
7/10/94,Pablo Romero,2.59,2,2,27,Dry
7/11/94,Benitez Cubero,6.12,1,5,38,Dry
7/12/94,Torrestrella,3.42,6,5,28,Dry
7/13/94,Marques de Domecq,2.46,NA,4,30,Dry
7/14/94,Osborne,3.23,NA,3,27,Dry
7/7/95,Celestino Cuadri,2.42,NA,7,31,Dry
7/8/95,Miura,3.31,NA,5,29,Dry
7/9/95,Dolores Aguirre,3.3,1,5,43,Dry
7/10/95,Cebada Gago,2.44,2,7,18,Dry
7/11/95,Sepulveda,3.4,NA,3,26,Dry
7/12/95,Nunez del Cuvillo,3.32,1,4,41,Dry
7/13/95,Torrestrella,2.23,1,3,27,Dry
7/14/95,El Torreon,2.5,NA,4,28,Dry
7/7/96,Miura,2.36,1,6,28,Dry
7/8/96,Guardiola Fantoni,5.03,NA,1,21,Wet
7/9/96,Alcurrucen,2.31,NA,7,25,Dry
7/10/96,El Sierro,3.11,1,8,25,Dry
7/11/96,La Ermita,3.38,NA,3,21,Dry
7/12/96,Torrestrella,2.21,2,3,24,Dry
7/13/96,Cebada Gago,3.04,1,4,18,Dry
7/14/96,Marques de Domecq,4.28,1,3,19,Dry
7/7/97,Conde de la Corte,2.17,1,4,13,Dry
7/8/97,Guardiola Fantoni,2.48,1,4,25,Dry
7/9/97,Maria Luisa Dominguez,6.16,1,2,14,Wet
7/10/97,Torrestrella,2.15,1,7,24,Dry
7/11/97,Jandilla,3.17,NA,8,32,Dry
7/12/97,Hermanos Astolfi,4.3,NA,5,43,Dry
7/13/97,Miura,NA,NA,NA,NA,NA
7/14/97,El Pilar,3.2,1,2,24,Dry
7/7/98,Jandilla,2.19,1,6,25,Dry
7/8/98,Conde de la Corte,2.12,NA,2,21,Dry
7/9/98,Guardiola Fantoni,2.38,NA,3,30,Dry
7/10/98,Cebada Gago,2.13,2,2,19,Dry
7/11/98,Penajara,2.54,NA,6,24,Dry
7/12/98,Miura,2.5,NA,1,31,Dry
7/13/98,Marques de Domecq,2.26,NA,3,28,Dry
7/14/98,Torrealta,2.13,NA,1,29,Dry
7/7/99,Marques de Domecq,2.38,NA,9,23,Dry
7/8/99,Guardiola Fantoni,3,NA,1,27,Dry
7/9/99,Cebada Gago,4.3,7,4,29,Dry
7/10/99,Adolfo Martin,2.46,NA,9,57,Dry
7/11/99,Miura,2.21,NA,3,32,Dry
7/12/99,Jandilla,2.55,NA,3,19,Wet
7/13/99,Guadalest,7.08,1,6,40,Dry
7/14/99,Lorenzo Gutierrez,2.26,NA,2,22,Dry
7/7/00,Cebada Gago,2.27,NA,2,17,Dry
7/8/00,Adolfo Martin,5.12,1,5,27,Dry
7/9/00,Partido de Resina,2.33,NA,7,40,Dry
7/10/00,Torrestrella,5.1,3,3,21,Dry
7/11/00,Jandilla,3.49,NA,3,12,Wet
7/12/00,Nunez del Cuvillo,3.44,2,8,29,Wet
7/13/00,Lorenzo Gutierrez,5.58,3,5,24,Dry
7/14/00,Miura,2.38,NA,4,22,Dry
7/7/01,Torrestrella,3.48,6,3,31,Dry
7/8/01,Millares,5.43,NA,3,37,Dry
7/9/01,Cebada Gago,3.02,2,1,21,Wet
7/10/01,Jandilla,2.42,NA,2,44,Dry
7/11/01,Santiago Domecq Bohorquez,3.58,1,4,19,Wet
7/12/01,Marques de Domecq,2.16,NA,5,29,Dry
7/13/01,Lorenzo Gutierrez,2.57,2,5,37,Dry
7/14/01,Miura,4.12,1,6,44,Dry
7/7/02,Marques de Domecq,7.01,3,3,12,Dry
7/8/02,Cebada Gago,2.48,1,2,14,Dry
7/9/02,Santiago Domecq Bohorquez,11.57,5,3,17,Dry
7/10/02,Lorenzo Gutierrez,6.22,NA,1,22,Dry
7/11/02,Jandilla,2.52,2,6,40,Wet
7/12/02,Dolores Aguirre,3.3,1,5,34,Dry
7/13/02,Torrestrella,3.3,NA,2,19,Dry
7/14/02,Miura,2.5,NA,5,27,Wet
7/7/03,Alcurrucen,2.46,NA,4,20,Dry
7/8/03,Cebada Gago,4.41,3,3,31,Dry
7/9/03,Juan Pedro Domecq,2.3,NA,5,17,Dry
7/10/03,Jandilla,4.28,3,9,36,Dry
7/11/03,Adolfo Martin,2.41,NA,9,27,Dry
7/12/03,Dolores Aguirre,3.04,2,5,47,Dry
7/13/03,Miura,2.53,1,7,39,Dry
7/14/03,Torrestrella,4.09,2,4,19,Dry
7/7/04,Torrestrella,2.4,NA,8,35,Wet
7/8/04,Cebada Gago,2.28,NA,6,18,Dry
7/9/04,Nunez del Cuvillo,4.41,4,5,51,Dry
7/10/04,Dolores Aguirre,2.56,2,4,28,Wet
7/11/04,Miura,2.23,1,2,25,Wet
7/12/04,Jandilla,3.14,8,10,56,Dry
7/13/04,Marques de Domecq,2.3,NA,3,20,Dry
